label	gene
seedling_specific	TraesCS3A03G0589400
seedling_specific	TraesCS3A03G0607700
seedling_specific	TraesCS3A03G0648500
seedling_specific	TraesCS3A03G0649600
seedling_specific	TraesCS3A03G0670000
seedling_specific	TraesCS3A03G0674800
seedling_specific	TraesCS3A03G0681600
seedling_specific	TraesCS3A03G0690300
seedling_specific	TraesCS3A03G0692400
seedling_specific	TraesCS3A03G0696400
seedling_specific	TraesCS3A03G0699100
seedling_specific	TraesCS3A03G0701500
seedling_specific	TraesCS3A03G0703600
seedling_specific	TraesCS3A03G0719400
seedling_specific	TraesCS3A03G0754400
seedling_specific	TraesCS3A03G0741000
seedling_specific	TraesCS3A03G0740400
seedling_specific	TraesCS3A03G0775000
seedling_specific	TraesCS3A03G0779600
seedling_specific	TraesCS3A03G0788000
seedling_specific	TraesCS3A03G0795100
seedling_specific	TraesCS3A03G0801100
seedling_specific	TraesCS3A03G0809200
seedling_specific	TraesCS3A03G0810000
seedling_specific	TraesCS3A03G0836500
seedling_specific	TraesCS3A03G0869600
seedling_specific	TraesCS3A03G0889400
seedling_specific	TraesCS3A03G0895300
seedling_specific	TraesCS3A03G0901200
seedling_specific	TraesCS3A03G0909800
seedling_specific	TraesCS3A03G0919200
seedling_specific	TraesCS3A03G0925200
seedling_specific	TraesCS3A03G0937600
seedling_specific	TraesCS3A03G0942500
seedling_specific	TraesCS3A03G0974900
seedling_specific	TraesCS3A03G1012500
seedling_specific	TraesCS3A03G1049700
seedling_specific	TraesCS3A03G1064400
seedling_specific	TraesCS3A03G1070500
seedling_specific	TraesCS3A03G1113900
seedling_specific	TraesCS3A03G1127700
seedling_specific	TraesCS3A03G1147700
seedling_specific	TraesCS3A03G1170400
seedling_specific	TraesCS3A03G1171200
seedling_specific	TraesCS3A03G1171500
seedling_specific	TraesCS3A03G1172900
seedling_specific	TraesCS3A03G1179600
seedling_specific	TraesCS3A03G1183300
seedling_specific	TraesCS3A03G1193500
seedling_specific	TraesCS3A03G1199400
seedling_specific	TraesCS3A03G1236800
seedling_specific	TraesCS3A03G1253000
seedling_specific	TraesCS3A03G1263600
seedling_specific	TraesCS3A03G1264200
seedling_specific	TraesCS3B03G0005600
seedling_specific	TraesCS3B03G0028100
seedling_specific	TraesCS3B03G0039200
seedling_specific	TraesCS3B03G0047600
seedling_specific	TraesCS3B03G0082800
seedling_specific	TraesCS3B03G0085100
seedling_specific	TraesCS3B03G0085300
seedling_specific	TraesCS3B03G0106500
seedling_specific	TraesCS3B03G0107400
seedling_specific	TraesCS3B03G0152000
seedling_specific	TraesCS3B03G0165900
seedling_specific	TraesCS3B03G0167800
seedling_specific	TraesCS3B03G0208500
seedling_specific	TraesCS3B03G0220900
seedling_specific	TraesCS3B03G0228800
seedling_specific	TraesCS3B03G0236200
seedling_specific	TraesCS3B03G0236400
seedling_specific	TraesCS3B03G0254800
seedling_specific	TraesCS3B03G0269900
seedling_specific	TraesCS3B03G0278400
seedling_specific	TraesCS3B03G0289200
seedling_specific	TraesCS3B03G0312500
seedling_specific	TraesCS3B03G0315600
seedling_specific	TraesCS3B03G0317900
seedling_specific	TraesCS3B03G0318000
seedling_specific	TraesCS3B03G0325000
seedling_specific	TraesCS3B03G0344400
