"gene","category"
"TraesCS2B03G1008800","Ambiguous"
"TraesCS5B03G0269000","Conserved"
"TraesCS1B03G0495300","Conserved"
"TraesCS2B03G1193800","Conserved"
"TraesCS4B03G0101000","Ambiguous"
"TraesCS3B03G0526400","Conserved"
"TraesCS3B03G0313700","Ambiguous"
"TraesCS5B03G0726500","Conserved"
"TraesCS3B03G0321000","Conserved"
"TraesCS6B03G0147400","Cis × trans"
"TraesCS5B03G0163800","Compensatory"
"TraesCS4B03G0706300","Conserved"
"TraesCS1B03G0097100","Conserved"
"TraesCS7B03G0208000","Conserved"
"TraesCS7B03G1178300","Cis only"
"TraesCS5B03G0896300","Ambiguous"
"TraesCS2B03G1064800","Ambiguous"
"TraesCS2B03G1282700","Ambiguous"
"TraesCS5B03G0616800","Ambiguous"
"TraesCS7B03G0149800","Conserved"
"TraesCS2B03G1468300","Conserved"
"TraesCS1B03G0861700","Conserved"
"TraesCS2B03G1450200","Trans only"
"TraesCS6B03G0793800","Conserved"
"TraesCS7B03G0157300","Conserved"
"TraesCS2B03G0463700","Conserved"
"TraesCS1B03G0754300","Conserved"
"TraesCS3B03G1335600","Conserved"
"TraesCS5B03G0665000","Conserved"
"TraesCS4B03G0131300","Conserved"
"TraesCS2B03G0965300","Ambiguous"
"TraesCS5B03G0909400","Conserved"
"TraesCS2B03G0528100","Ambiguous"
"TraesCS5B03G0979400","Ambiguous"
"TraesCS2B03G0557200","Ambiguous"
"TraesCS7B03G1180200","Conserved"
"TraesCS2B03G1440200","Cis × trans"
"TraesCS2B03G1004500","Conserved"
"TraesCS1B03G0959700","Conserved"
"TraesCS1B03G0518100","Conserved"
"TraesCS5B03G1301300","Cis only"
"TraesCS2B03G0952500","Ambiguous"
"TraesCS4B03G0028300","Conserved"
"TraesCS4B03G0004400","Trans only"
"TraesCS1B03G0668600","Ambiguous"
"TraesCS1B03G0718600","Ambiguous"
"TraesCS3B03G0330200","Cis only"
"TraesCS1B03G0060300","Trans only"
"TraesCS7B03G0122200","Ambiguous"
