gene_id	meth_CS	cov_CS	meth_CSxP	cov_CSxP	meth_P	cov_P	pct_CS	pct_CSxP	pct_P	subgenome	category.x	category.y
TraesCS1A03G0474000	20	1375	32	1228	20	1507	1.45454545454545	2.60586319218241	1.3271400132714	A	conserved_mC	Conserved
TraesCS1A03G0475600	24	1192	20	1302	12	1312	2.01342281879195	1.53609831029186	0.914634146341463	A	conserved_mC	Conserved
TraesCS1A03G0477800	36	1612	26	1329	42	1871	2.23325062034739	1.95635816403311	2.24478888295029	A	conserved_mC	Conserved
TraesCS1A03G0478900	12	750	13	763	20	867	1.6	1.70380078636959	2.30680507497117	A	conserved_mC	Conserved
TraesCS1A03G0479200	30	1513	33	1480	38	1681	1.98281559814937	2.22972972972973	2.26055919095776	A	conserved_mC	Trans only
TraesCS1A03G0479500	13	598	9	511	10	539	2.17391304347826	1.76125244618395	1.85528756957328	A	conserved_mC	Conserved
TraesCS1A03G0480300	12	906	22	1099	33	1287	1.32450331125828	2.00181983621474	2.56410256410256	A	conserved_mC	Conserved
TraesCS1A03G0482200	23	1253	21	1266	23	1443	1.83559457302474	1.65876777251185	1.59390159390159	A	conserved_mC	Conserved
TraesCS1A03G0483700	12	836	17	883	26	1084	1.43540669856459	1.92525481313703	2.39852398523985	A	conserved_mC	Conserved
TraesCS1A03G0486400	21	1226	30	1092	28	1304	1.71288743882545	2.74725274725275	2.14723926380368	A	conserved_mC	Conserved
TraesCS1A03G0486900	24	1268	24	1260	31	1398	1.89274447949527	1.9047619047619	2.21745350500715	A	conserved_mC	Conserved
TraesCS1A03G0487700	7	755	11	822	15	882	0.927152317880795	1.338199513382	1.70068027210884	A	conserved_mC	Conserved
TraesCS1A03G0488800	19	1510	25	1404	33	1489	1.25827814569536	1.78062678062678	2.21625251846877	A	conserved_mC	Conserved
TraesCS1A03G0490400	16	881	11	916	21	978	1.8161180476731	1.20087336244541	2.14723926380368	A	conserved_mC	Conserved
TraesCS1A03G0492100	14	886	12	772	20	1106	1.58013544018059	1.55440414507772	1.80831826401447	A	conserved_mC	Conserved
TraesCS1A03G0497100	17	996	13	989	10	812	1.70682730923695	1.314459049545	1.23152709359606	A	conserved_mC	Conserved
