"gene","sample","pval","adjpval","MAF","delta","rref","ralt"
"TraesPARA_EIv1.0_1044780","PxCS1",0.008506,0.0539271270125224,0.561617676665758,-0.331652604707615,414,521
"TraesPARA_EIv1.0_1044790","PxCS1",0.862314,1,0.517002259910829,-0.00756329407547746,761,765
"TraesPARA_EIv1.0_1045000","PxCS1",0.271601,0.641488799733422,0.55,0.289506616778623,77,63
"TraesPARA_EIv1.0_1045030","PxCS1",0.625481,0.937735261435166,0.564093457966407,0.371968776422589,44,34
"TraesPARA_EIv1.0_1045080","PxCS1",0.629339,0.937735261435166,0.588235294117647,-0.514573166646779,7,10
"TraesPARA_EIv1.0_1045470","PxCS1",1,1,0.538461538461539,0.22239241790146,7,6
"TraesPARA_EIv1.0_1045560","PxCS1",0,0,0.887096774193548,-2.97400477348021,7,55
"TraesPARA_EIv1.0_1045940","PxCS1",0.424044,0.788797652606759,0.642857142857143,-0.847996893730994,5,9
"TraesPARA_EIv1.0_1046010","PxCS1",0,0,0.761502390646328,-1.60407132173261,50,152
"TraesPARA_EIv1.0_1046160","PxCS1",0,0,0.788448969795102,-1.8550516610186,34,123
"TraesPARA_EIv1.0_1046330","PxCS1",0.00095,0.00795933806146572,0.72155817241817,0.896906504732743,54,29
"TraesPARA_EIv1.0_1047150","PxCS1",0,0,0.749753499682533,-1.57501283932544,97,289
"TraesPARA_EIv1.0_1047170","PxCS1",0.077871,0.297600474393531,0.714285714285714,-1.32192808046041,6,15
"TraesPARA_EIv1.0_1048810","PxCS1",0.166849,0.484484109791069,0.68421052631579,-1.11547720447267,6,13
