"gene","category"
"TraesPARA_EIv1.0_0043630","Conserved"
"TraesPARA_EIv1.0_0043700","Conserved"
"TraesPARA_EIv1.0_0043910","Ambiguous"
"TraesPARA_EIv1.0_0044230","Conserved"
"TraesPARA_EIv1.0_0044340","Ambiguous"
"TraesPARA_EIv1.0_0044770","Conserved"
"TraesPARA_EIv1.0_0045000","Conserved"
"TraesPARA_EIv1.0_0045120","Ambiguous"
"TraesPARA_EIv1.0_0045380","Ambiguous"
"TraesPARA_EIv1.0_0045450","Ambiguous"
"TraesPARA_EIv1.0_0046350","Conserved"
"TraesPARA_EIv1.0_0046510","Trans only"
"TraesPARA_EIv1.0_0046540","Conserved"
"TraesPARA_EIv1.0_0046630","Ambiguous"
"TraesPARA_EIv1.0_0046700","Ambiguous"
"TraesPARA_EIv1.0_0046730","Ambiguous"
"TraesPARA_EIv1.0_0046870","Ambiguous"
"TraesPARA_EIv1.0_0046900","Ambiguous"
"TraesPARA_EIv1.0_0047000","Ambiguous"
"TraesPARA_EIv1.0_0047030","Conserved"
"TraesPARA_EIv1.0_0047080","Ambiguous"
"TraesPARA_EIv1.0_0047110","Conserved"
"TraesPARA_EIv1.0_0047130","Conserved"
"TraesPARA_EIv1.0_0047260","Conserved"
"TraesPARA_EIv1.0_0047270","Ambiguous"
"TraesPARA_EIv1.0_0047280","Ambiguous"
"TraesPARA_EIv1.0_0047290","Conserved"
"TraesPARA_EIv1.0_0047400","Conserved"
"TraesPARA_EIv1.0_0047740","Ambiguous"
"TraesPARA_EIv1.0_0048020","Conserved"
"TraesPARA_EIv1.0_0048140","Ambiguous"
"TraesPARA_EIv1.0_0048180","Ambiguous"
"TraesPARA_EIv1.0_0048200","Ambiguous"
"TraesPARA_EIv1.0_0048220","Ambiguous"
"TraesPARA_EIv1.0_0048240","Conserved"
"TraesPARA_EIv1.0_0048270","Trans only"
"TraesPARA_EIv1.0_0048360","Conserved"
"TraesPARA_EIv1.0_0048370","Cis only"
"TraesPARA_EIv1.0_0048480","Ambiguous"
"TraesPARA_EIv1.0_0048490","Cis only"
"TraesPARA_EIv1.0_0048540","Conserved"
"TraesPARA_EIv1.0_0048550","Conserved"
"TraesPARA_EIv1.0_0048670","Conserved"
"TraesPARA_EIv1.0_0048840","Ambiguous"
"TraesPARA_EIv1.0_0048920","Ambiguous"
"TraesPARA_EIv1.0_0048930","Ambiguous"
"TraesPARA_EIv1.0_0048970","Ambiguous"
"TraesPARA_EIv1.0_0049000","Trans only"
"TraesPARA_EIv1.0_0049010","Conserved"
"TraesPARA_EIv1.0_0049390","Ambiguous"
"TraesPARA_EIv1.0_0049540","Conserved"
"TraesPARA_EIv1.0_0049560","Conserved"
"TraesPARA_EIv1.0_0049580","Ambiguous"
"TraesPARA_EIv1.0_0049620","Ambiguous"
"TraesPARA_EIv1.0_0049650","Conserved"
"TraesPARA_EIv1.0_0049670","Ambiguous"
"TraesPARA_EIv1.0_0049700","Conserved"
"TraesPARA_EIv1.0_0049850","Ambiguous"
"TraesPARA_EIv1.0_0050030","Conserved"
"TraesPARA_EIv1.0_0050070","Cis only"
"TraesPARA_EIv1.0_0050360","Trans only"
"TraesPARA_EIv1.0_0050430","Ambiguous"
"TraesPARA_EIv1.0_0050450","Conserved"
"TraesPARA_EIv1.0_0050470","Ambiguous"
"TraesPARA_EIv1.0_0050690","Ambiguous"
"TraesPARA_EIv1.0_0050720","Ambiguous"
"TraesPARA_EIv1.0_0050730","Conserved"
"TraesPARA_EIv1.0_0050760","Conserved"
"TraesPARA_EIv1.0_0050840","Conserved"
"TraesPARA_EIv1.0_0050850","Conserved"
"TraesPARA_EIv1.0_0050900","Conserved"
"TraesPARA_EIv1.0_0050920","Ambiguous"
"TraesPARA_EIv1.0_0050930","Ambiguous"
"TraesPARA_EIv1.0_0051290","Conserved"
"TraesPARA_EIv1.0_0051310","Ambiguous"
"TraesPARA_EIv1.0_0051350","Conserved"
"TraesPARA_EIv1.0_0051450","Conserved"
"TraesPARA_EIv1.0_0051700","Conserved"
"TraesPARA_EIv1.0_0051710","Conserved"
"TraesPARA_EIv1.0_0051770","Ambiguous"
"TraesPARA_EIv1.0_0051880","Conserved"
"TraesPARA_EIv1.0_0052110","Ambiguous"
"TraesPARA_EIv1.0_0052310","Conserved"
"TraesPARA_EIv1.0_0052430","Ambiguous"
